context: 25.5M params, 544 tokens, mix [('qa', 1.0)], 10000 steps × 64×256
      test_ood: 2hop 42.5% (n=200) · 3hop 53.5% (n=200) · all 48.0% (n=400)
step   6100 loss 0.9141 gnorm 1.01 lr 4.25e-04 59,141 tok/s (2% trained)
step   6200 loss 0.8953 gnorm 0.82 lr 4.11e-04 64,898 tok/s (2% trained)
step   6300 loss 0.8898 gnorm 0.97 lr 3.97e-04 65,611 tok/s (2% trained)
step   6400 loss 0.8819 gnorm 0.96 lr 3.83e-04 65,655 tok/s (2% trained)
step   6500 loss 0.8586 gnorm 1.05 lr 3.69e-04 64,909 tok/s (2% trained)
step   6600 loss 0.8855 gnorm 0.79 lr 3.56e-04 66,119 tok/s (2% trained)
step   6700 loss 0.8682 gnorm 0.79 lr 3.43e-04 68,174 tok/s (2% trained)
step   6800 loss 0.8563 gnorm 0.92 lr 3.29e-04 68,083 tok/s (2% trained)
step   6900 loss 0.8199 gnorm 0.98 lr 3.17e-04 68,777 tok/s (2% trained)
step   7000 loss 0.8249 gnorm 0.95 lr 3.04e-04 69,717 tok/s (2% trained)
step   7100 loss 0.8137 gnorm 0.89 lr 2.92e-04 60,323 tok/s (2% trained)
step   7200 loss 0.8126 gnorm 0.95 lr 2.80e-04 60,442 tok/s (2% trained)
step   7300 loss 0.7926 gnorm 0.90 lr 2.68e-04 67,364 tok/s (2% trained)
step   7400 loss 0.7754 gnorm 0.92 lr 2.56e-04 68,691 tok/s (2% trained)
step   7500 loss 0.7789 gnorm 0.85 lr 2.45e-04 69,752 tok/s (2% trained)
step   7600 loss 0.7669 gnorm 0.91 lr 2.35e-04 70,229 tok/s (2% trained)
step   7700 loss 0.7640 gnorm 0.86 lr 2.24e-04 70,753 tok/s (2% trained)
step   7800 loss 0.7347 gnorm 0.82 lr 2.14e-04 70,588 tok/s (2% trained)
step   7900 loss 0.7437 gnorm 0.90 lr 2.04e-04 70,251 tok/s (2% trained)
step   8000 loss 0.7412 gnorm 0.93 lr 1.95e-04 69,060 tok/s (2% trained)
 test_1hop_ood: 1hop 15.5% (n=200) · all 15.5% (n=200)
       test_id: 2hop 41.5% (n=200) · 3hop 63.0% (n=200) · all 52.2% (n=400)
      test_ood: 2hop 41.0% (n=200) · 3hop 62.5% (n=200) · all 51.7% (n=400)
step   8100 loss 0.7204 gnorm 0.95 lr 1.86e-04 59,931 tok/s (2% trained)
step   8200 loss 0.7078 gnorm 0.94 lr 1.77e-04 65,107 tok/s (2% trained)
step   8300 loss 0.7139 gnorm 0.83 lr 1.69e-04 63,506 tok/s (2% trained)
step   8400 loss 0.6925 gnorm 0.94 lr 1.62e-04 63,695 tok/s (2% trained)
step   8500 loss 0.6652 gnorm 0.80 lr 1.54e-04 62,650 tok/s (2% trained)
step   8600 loss 0.6792 gnorm 0.87 lr 1.47e-04 63,678 tok/s (2% trained)
step   8700 loss 0.6748 gnorm 0.80 lr 1.41e-04 63,032 tok/s (2% trained)
step   8800 loss 0.6829 gnorm 0.91 lr 1.35e-04 61,792 tok/s (2% trained)
step   8900 loss 0.6859 gnorm 1.03 lr 1.29e-04 63,055 tok/s (2% trained)
step   9000 loss 0.6604 gnorm 0.93 lr 1.24e-04 66,697 tok/s (2% trained)
step   9100 loss 0.6550 gnorm 0.99 lr 1.20e-04 67,354 tok/s (2% trained)
step   9200 loss 0.6688 gnorm 0.92 lr 1.16e-04 67,219 tok/s (2% trained)
step   9300 loss 0.6552 gnorm 0.89 lr 1.12e-04 66,038 tok/s (2% trained)
step   9400 loss 0.6353 gnorm 0.84 lr 1.09e-04 67,357 tok/s (2% trained)
step   9500 loss 0.6252 gnorm 0.97 lr 1.06e-04 66,581 tok/s (2% trained)
step   9600 loss 0.6410 gnorm 0.95 lr 1.04e-04 64,787 tok/s (2% trained)
step   9700 loss 0.6124 gnorm 0.86 lr 1.02e-04 67,217 tok/s (2% trained)
step   9800 loss 0.6020 gnorm 0.99 lr 1.01e-04 65,567 tok/s (2% trained)
step   9900 loss 0.6125 gnorm 0.99 lr 1.00e-04 62,864 tok/s (2% trained)
step  10000 loss 0.5971 gnorm 0.87 lr 1.00e-04 63,663 tok/s (2% trained)
 test_1hop_ood: 1hop 21.5% (n=200) · all 21.5% (n=200)
       test_id: 2hop 43.0% (n=200) · 3hop 61.0% (n=200) · all 52.0% (n=400)
      test_ood: 2hop 46.0% (n=200) · 3hop 63.5% (n=200) · all 54.8% (n=400)
saved runs/context-a/checkpoints/final
